indicator,id,year,stage
"[0.0002856728036785925, 0.2446277013341676, 0.11070044194140018, 0.03749168459467455, 0.05910252835249806, 0.1842914939431991, 0.060552733393633866, 0.0, 0.0587931431968339]",1,1990,
"[0.00042850920551788877, 0.1834707760006257, 0.11808047140416018, 0.034992238955029585, 0.055676294824817014, 0.2279243710138631, 0.08881067564399633, 0.0, 0.11066944601756967]",2,1991,
"[0.0006070547078170091, 0.21584797176544201, 0.1823301396681885, 0.1464381092403759, 0.1717147626814266, 0.11023042628378264, 0.12727947097642256, 0.0, 0.135081823815563]",3,1992,
"[0.0014997822193126107, 0.14561172698462357, 0.1939893458782632, 0.08426702442231612, 0.20288197103197056, 0.17469554165510195, 0.14686440734201991, 0.051255278850881, 0.2042114777705155]",4,1993,
"[0.0024996370321876847, 0.10484044342892897, 0.2036888131721763, 0.1126892919817075, 0.18149248458059034, 0.21957507235635632, 0.16331937235311533, 0.07239888153263058, 0.1853713220794292]",5,1994,
"[0.001678327721611731, 0.1249162730217026, 0.17523644426468454, 0.05232881934916278, 0.17276964809795917, 0.13602903669062538, 0.16490957179542842, 0.17938319875845798, 0.18719619060418702]",6,1995,
"[0.002142546027589444, 0.19977928942290354, 0.24354097227108037, 0.1584648535534911, 0.477788265435122, 0.15650424065082888, 0.16793291394501125, 0.1408245726521925, 0.28958505041264065]",7,1996,
"[0.004142255653339592, 0.16238218105802507, 0.20994911402679342, 0.10290821012883083, 0.22648585077808853, 0.2654795288192395, 0.18569504907381051, 0.05879898709439795, 0.3250914976766109]",8,1997,
"[0.0029281462377055735, 0.1789958790250007, 0.18360073297598078, 0.16423186715130608, 0.5084196288393046, 0.20668204928209247, 0.15792940546892476, 0.0, 0.16094306631213637]",9,1998,
"[0.005034983164835193, 0.1873744095325539, 0.16895556812616536, 0.1976157446153342, 0.28291941108362006, 0.19744731942055216, 0.16170299678829506, 0.072753333592928, 0.17267573137493142]",10,1999,
"[0.0066418926855272755, 0.16703074230881335, 0.19854659909489836, 0.10642800788165678, 0.099416034133842, 0.22027565359867451, 0.1576541417101636, 0.14592534195409645, 0.19099404393354769]",11,2000,
"[0.0047850194616164245, 0.2154184235629237, 0.18505148503637042, 0.1490714145674821, 0.16024033968639642, 0.1561426327536604, 0.17448827453528723, 0.004547612064772452, 0.1967686232364625]",12,2001,
"[0.005856292475411147, 0.21181179017958415, 0.18900075453409787, 0.24579914192801267, 0.19792766122713562, 0.16811820350140935, 0.1766367539970393, 0.0, 0.17578896760717622]",13,2002,
"[0.0086058932108176, 0.15530306350260434, 0.22378944113630772, 0.159674128912755, 0.11033609298063321, 0.2303804474639534, 0.21252920644493126, 0.28816962727902434, 0.2508430908178317]",14,2003,
"[0.0086058932108176, 0.2476728594420618, 0.18410264369341575, 0.3202194338990792, 0.1842489067167899, 0.21906010285597158, 0.22003339027905242, 0.0206452952116997, 0.2181244267981145]",15,2004,
"[0.008248802206219359, 0.24992267322451756, 0.16485260618113273, 0.3178515805636824, 0.16526014703645986, 0.1915909790170508, 0.20928702312327827, 0.0, 0.19882173202290657]",16,2005,
"[0.009534329822773024, 0.19240381003810936, 0.1678334790182726, 0.2548872879260421, 0.08954403579085522, 0.24448344780871736, 0.24868198723058424, 0.0, 0.19678022283461127]",17,2006,
"[0.007070401891045165, 0.28169250456661726, 0.15475698146151295, 0.30447792337493274, 0.15667231494759695, 0.1771063351592341, 0.23519741832624924, 0.03914687501426526, 0.1890603036133482]",18,2007,
"[0.00932007522001408, 0.21463503297135778, 0.15099370624957265, 0.217652875470693, 0.08447437835489478, 0.24192094274206608, 0.2475933987650807, 0.00824433933216111, 0.22981930935449338]",19,2008,
"[0.009784293525991795, 0.2196292501029388, 0.15708150301757806, 0.20623163146384482, 0.09423392651315464, 0.18437949724885452, 0.238675007536951, 0.0009236505327737881, 0.2061925262480632]",20,2009,
