indicator,id,year,stage
"[6.942304732421527e-05, 0.15444912138353875, 0.06357297714384715, 0.0, 0.1075279548656807, 0.005830984927511858, 0.04684456014029092, 0.0, 0.018649158694781842]",1,1897,0
"[6.942304732421527e-05, 0.15444912138353875, 0.06357297714384715, 0.0, 0.0, 0.23615488956423025, 0.1171114003507273, 0.0, 0.018649158694781842]",2,1898,0
"[6.942304732421527e-05, 0.15444912138353875, 0.06357297714384715, 0.0, 0.0, 0.12245068347774903, 0.1171114003507273, 0.0, 0.018649158694781842]",3,1901,0
"[0.00013884609464843054, 0.15444912138353875, 0.06357297714384715, 0.0, 0.0, 0.05976759550699655, 0.04684456014029092, 0.0, 0.018649158694781842]",4,1902,0
"[0.0002776921892968611, 0.3088982427670775, 0.1271459542876943, 0.0, 0.017921325810946784, 0.012390842970962698, 0.03513342010521819, 0.0, 0.041960607063259145]",5,1903,0
"[0.0002776921892968611, 0.19306140172942346, 0.09535946571577071, 0.0, 0.0, 0.030612670869437256, 0.07026684021043637, 0.0, 0.018649158694781842]",6,1904,0
"[0.00013884609464843054, 0.15444912138353875, 0.06357297714384715, 0.0, 0.08960662905473392, 0.12973941463713884, 0.03513342010521819, 0.0, 0.018649158694781842]",7,1905,0
"[0.00020826914197264582, 0.15444912138353875, 0.08476396952512952, 0.0, 0.09558040432504951, 0.07774646570015811, 0.05465198683033941, 0.0, 0.018649158694781842]",8,1908,0
"[0.00034711523662107636, 0.15444912138353875, 0.10171676343015543, 0.0, 0.007168530324378714, 0.03440281107231997, 0.03279119209820364, 0.0, 0.018649158694781842]",9,1909,0
"[0.00041653828394529164, 0.15444912138353875, 0.08476396952512952, 0.0, 0.0, 0.02138027806754348, 0.04684456014029092, 0.0, 0.03419012427376671]",10,1910,0
"[0.0009024996152147986, 0.15444912138353875, 0.08313389318810781, 0.0, 0.013785635239189836, 0.030276267892850033, 0.034232563179443364, 0.0, 0.028691013376587454]",11,1911,0
"[0.000763653520566368, 0.1404082921668534, 0.06357297714384715, 0.0, 0.01955053724830558, 0.05618949111965973, 0.05749105108126613, 0.0, 0.025430670947429786]",12,1912,0
"[0.0011801918045116597, 0.14536387894921296, 0.08227091159791983, 0.0, 0.09909438977817633, 0.06208283952233214, 0.06888905902983959, 0.0, 0.02413420536971768]",13,1913,0
"[0.0009719226625390138, 0.17651328158118715, 0.07265483102153959, 0.0, 0.10240757606255306, 0.06705632666638638, 0.07528590022546755, 0.0, 0.02131332422260782]",14,1914,0
"[0.0012496148518358749, 0.12012709440941903, 0.0671048092073942, 0.0, 0.09358914590161099, 0.0655985804345084, 0.040338371231917185, 0.0, 0.025901609298308113]",15,1915,0
"[0.0008330765678905833, 0.12870760115294896, 0.06357297714384715, 0.0, 0.21206902209620362, 0.05515139910604966, 0.03708527677773031, 0.0, 0.024865544926375792]",16,1916,0
"[0.0009719226625390138, 0.13238496118589035, 0.06811390408269337, 0.0, 0.017921325810946784, 0.07892654598310694, 0.05855570017536365, 0.0, 0.029305820806085757]",17,1917,0
"[0.0009024996152147986, 0.14256841973865117, 0.07335343516597746, 0.0, 0.0992565737221668, 0.08948319177220121, 0.04684456014029092, 0.0, 0.032994665383075564]",18,1918,0
"[0.0021521144670506734, 0.09964459444099275, 0.06562371834203576, 0.0, 0.03237400791654903, 0.10420534354327643, 0.055911249199702064, 0.0, 0.045720518090432906]",19,1919,0
"[0.0024992297036717497, 0.124417347781184, 0.07416847333448834, 0.0, 0.045798943739086224, 0.09021829457289181, 0.07286931577378587, 0.0, 0.054393379526447044]",20,1920,0
"[0.0019438453250780277, 0.12686892113647827, 0.08173668489923204, 0.0, 0.038402841023457396, 0.10641547492709141, 0.06190174018538443, 0.0, 0.05727955884825852]",21,1921,0
"[0.0018744222777538123, 0.13728810789647888, 0.07770030539803541, 0.0, 0.04513519093127338, 0.1301173488454035, 0.06072442981148823, 0.0, 0.04834967069017515]",22,1922,0
"[0.0029157679876170416, 0.07722456069176938, 0.09081853877692449, 0.0, 0.06059114917034389, 0.10495772869521344, 0.06747847353541905, 0.0, 0.07548468995506936]",23,1923,0
"[0.0022215375143748886, 0.11101030599441848, 0.07549291035831848, 0.0, 0.05936439174876122, 0.12217735605927191, 0.07026684021043637, 0.0, 0.05419911745670974]",24,1924,0
"[0.005206728549316145, 0.06177964855341551, 0.0728970137916114, 0.0, 0.06164936078965694, 0.08307209860061894, 0.061210225249980134, 0.0, 0.0733533575328086]",25,1925,0
"[0.0019438453250780277, 0.13238496118589035, 0.0749252944909627, 0.0, 0.06400473503909566, 0.0751780556725636, 0.07277637021795197, 0.0, 0.06860226234151892]",26,1926,0
"[0.003054614082265472, 0.10179601182096872, 0.07657654065054315, 0.0, 0.05539318887019915, 0.08746477391267787, 0.08144565569846034, 0.0, 0.08137814703177532]",27,1927,0
"[0.0049984594073434994, 0.08151481406353435, 0.07328551531860156, 0.0, 0.0682006010027697, 0.07543836749968466, 0.06668843631083082, 0.0, 0.0631999266878718]",28,1928,0
"[0.006664612543124666, 0.07561571567735752, 0.07880400291789384, 0.0, 0.08363285378441833, 0.0838811477593112, 0.06636312686541214, 0.0, 0.06974008303569461]",29,1929,0
"[0.008747303962851123, 0.0710956273035337, 0.07820485283568498, 0.0, 0.061729011126594485, 0.08653922074958076, 0.06840792909375816, 0.0, 0.07119242327134974]",30,1930,1
